UserID,CourseIDs
UserID: 674b53487b6c8b9dd2ac8c92,
UserID: 674d9c2b207414a5be9e4304,"CourseID: 674de1053434099224b6a065, CourseID: 675c331d98f331a456dec472"
UserID: 674d9dc8429726ae8fe094a8,CourseID: 674962cdf3ba4cd6f1e6d480
UserID: 674de5393c6a6ae03c88fb92,CourseID: 6750d1b068782ee4cef29455
UserID: 675070e0f1b51f257532d654,CourseID: 674e318df2fdb75fdded6081
UserID: 6750713cf1b51f257532d65c,"CourseID: 674e318df2fdb75fdded6081, CourseID: 6750d1b068782ee4cef29455"
UserID: 6752f538d1b4fe8613bcf5d5,"CourseID: 6750d1b068782ee4cef29455, CourseID: 675aceadfbfff5b29bd34d00, CourseID: 675c331d98f331a456dec472"
UserID: 67545280c4003ac399d476f9,"CourseID: 6750d1b068782ee4cef29455, CourseID: 674e318df2fdb75fdded6081, CourseID: 675aceadfbfff5b29bd34d00"
UserID: 675455d0c4003ac399d47710,CourseID: 675aceadfbfff5b29bd34d00
UserID: 675b0334fd9073e916797b1b,CourseID: 674de1053434099224b6a065
UserID: 675b0a5eef6b17ffa32b570e,CourseID: 675b07caef6b17ffa32b56f0
